,index
0,1371
1,2105
2,2294
3,62
4,110
5,144
6,150
7,153
8,161
9,165
10,168
11,185
12,186
13,223
14,235
15,253
16,261
17,272
18,296
19,300
20,314
21,319
22,339
23,350
24,364
25,377
26,405
27,454
28,468
29,497
30,500
31,508
32,509
33,539
34,550
35,551
36,585
37,586
38,587
39,588
40,590
41,592
42,593
43,616
44,247
45,595
46,866
47,1271
48,1580
49,2028
50,2841
51,2959
52,141
53,173
54,260
55,289
56,329
57,380
58,431
59,435
60,440
61,594
62,596
63,858
64,903
65,910
66,913
67,1073
68,1089
69,1125
70,1213
71,1257
72,1259
73,1265
74,1278
75,1372
76,1374
77,1544
78,1858
79,1954
80,2000
81,2005
82,2018
83,2034
84,2046
85,2064
86,2080
87,2085
88,2086
89,2100
90,2109
91,2110
92,2114
93,2140
94,2268
95,2289
96,2454
97,2616
98,2640
99,2770
100,2788
101,3034
102,3040
103,104
104,231
105,277
106,597
107,788
108,1247
109,1777
110,1923
111,1997
112,2023
113,2355
114,2502
115,3114
116,3176
117,4995
118,111
119,293
120,1250
121,1639
122,1687
123,1909
124,2001
125,2019
126,2657
127,8874
128,207
129,345
130,534
131,671
132,708
133,745
134,786
135,924
136,1375
137,524
138,628
139,805
140,1552
141,4011
142,8873
143,608
144,1541
145,1584
146,2291
147,2501
148,2539
149,152
150,1499
151,1690
152,1887
153,2108
154,2907
155,70
156,169
157,923
158,673
159,2668
160,3179
161,531
162,914
163,3175
164,5
165,11
166,14
167,16
168,19
169,22
170,25
171,82
172,95
173,101
174,107
175,123
176,145
177,149
178,157
179,162
180,163
181,164
182,170
183,172
184,175
185,176
186,180
187,193
188,196
189,214
190,215
191,246
192,252
193,288
194,306
195,308
196,322
197,335
198,429
199,483
200,535
201,562
202,574
203,647
204,663
205,665
206,674
207,680
208,762
209,802
210,804
211,832
212,916
213,920
214,922
215,926
216,931
217,953
218,994
219,1092
220,1246
221,1248
222,1251
223,1254
224,1262
225,1266
226,1267
227,1272
228,1280
229,1281
230,1370
231,1391
232,1407
233,1562
234,1573
235,1597
236,1635
237,1645
238,1649
239,1653
240,1694
241,1729
242,1735
243,1792
244,1807
245,1883
246,1895
247,1904
248,1921
249,1955
250,2011
251,2133
252,2134
253,2269
254,2288
255,2313
256,2334
257,2395
258,2605
259,2671
260,2759
261,2925
262,2976
263,3082
264,3083
265,3489
266,3512
267,3536
268,3635
269,3638
270,3683
271,3981
272,3989
273,4148
274,4232
275,4247
276,4380
277,4638
278,4643
279,4816
280,4958
281,5279
282,5528
283,5902
284,6037
285,6283
286,6537
287,6552
288,6620
289,6947
290,6957
